id,dataset,tool1,tool2,read,unique,total,percent_unique,group,subgroup,percent_compression,percent_sampled,total_reads,q,p,label
123,miseq,pass,pass,R1,552583,772140,71.57,pass_motif_25,permutation,28.43,92.44,835261,25,30,q25_p30
124,miseq,pass,fail,R1,60118,62971,95.47,pass_no_motif_25,permutation,4.53,7.54,835261,25,30,q25_p30
125,miseq,fail,pass,R1,123,123,100.00,fail_motif_25,permutation,0.00,0.01,835261,25,30,q25_p30
126,miseq,fail,fail,R1,27,27,100.00,fail_no_motif_25,permutation,0.00,0.00,835261,25,30,q25_p30
127,miseq,pass,,R1,611645,834054,73.33,pass_30,permutation,26.67,99.86,835261,30,30,q30_p30
128,miseq,fail,,R1,1207,1207,100.00,fail_30,permutation,0.00,0.14,835261,30,30,q30_p30
129,miseq,pass,pass,R1,551630,771186,71.53,pass_motif_30,permutation,28.47,92.33,835261,30,30,q30_p30
130,miseq,pass,fail,R1,60015,62868,95.46,pass_no_motif_30,permutation,4.54,7.53,835261,30,30,q30_p30
131,miseq,fail,pass,R1,1077,1077,100.00,fail_motif_30,permutation,0.00,0.13,835261,30,30,q30_p30
132,miseq,fail,fail,R1,130,130,100.00,fail_no_motif_30,permutation,0.00,0.02,835261,30,30,q30_p30
133,miseq,pass,,R1,607280,829632,73.20,pass_35,permutation,26.80,99.33,835261,35,30,q35_p30
134,miseq,fail,,R1,5629,5629,100.00,fail_35,permutation,0.00,0.67,835261,35,30,q35_p30
135,miseq,pass,pass,R1,547685,767186,71.39,pass_motif_35,permutation,28.61,91.85,835261,35,30,q35_p30
136,miseq,pass,fail,R1,59595,62446,95.43,pass_no_motif_35,permutation,4.57,7.48,835261,35,30,q35_p30
137,miseq,fail,pass,R1,5077,5077,100.00,fail_motif_35,permutation,0.00,0.61,835261,35,30,q35_p30
138,miseq,fail,fail,R1,552,552,100.00,fail_no_motif_35,permutation,0.00,0.07,835261,35,30,q35_p30
139,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,30,q40_p30
140,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,30,q40_p30
141,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,30,q40_p30
142,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,30,q40_p30
143,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,30,q40_p30
144,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,30,q40_p30
145,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,40,q5_p40
146,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,40,q5_p40
147,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,40,q5_p40
148,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,40,q5_p40
149,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,40,q5_p40
150,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,40,q5_p40
151,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,40,q10_p40
152,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,40,q10_p40
153,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,40,q10_p40
154,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,40,q10_p40
155,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,40,q10_p40
156,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,40,q10_p40
157,miseq,pass,,R1,612816,835226,73.37,pass_15,permutation,26.63,100.00,835261,15,40,q15_p40
158,miseq,fail,,R1,35,35,100.00,fail_15,permutation,0.00,0.00,835261,15,40,q15_p40
159,miseq,pass,pass,R1,552676,772233,71.57,pass_motif_15,permutation,28.43,92.45,835261,15,40,q15_p40
160,miseq,pass,fail,R1,60140,62993,95.47,pass_no_motif_15,permutation,4.53,7.54,835261,15,40,q15_p40
161,miseq,fail,pass,R1,30,30,100.00,fail_motif_15,permutation,0.00,0.00,835261,15,40,q15_p40
162,miseq,fail,fail,R1,5,5,100.00,fail_no_motif_15,permutation,0.00,0.00,835261,15,40,q15_p40
163,miseq,pass,,R1,612360,834770,73.36,pass_20,permutation,26.64,99.94,835261,20,40,q20_p40
164,miseq,fail,,R1,491,491,100.00,fail_20,permutation,0.00,0.06,835261,20,40,q20_p40
165,miseq,pass,pass,R1,552280,771837,71.55,pass_motif_20,permutation,28.45,92.41,835261,20,40,q20_p40
166,miseq,pass,fail,R1,60080,62933,95.47,pass_no_motif_20,permutation,4.53,7.53,835261,20,40,q20_p40
167,miseq,fail,pass,R1,426,426,100.00,fail_motif_20,permutation,0.00,0.05,835261,20,40,q20_p40
168,miseq,fail,fail,R1,65,65,100.00,fail_no_motif_20,permutation,0.00,0.01,835261,20,40,q20_p40
169,miseq,pass,,R1,611677,834086,73.34,pass_25,permutation,26.66,99.86,835261,25,40,q25_p40
170,miseq,fail,,R1,1175,1175,100.00,fail_25,permutation,0.00,0.14,835261,25,40,q25_p40
171,miseq,pass,pass,R1,551664,771220,71.53,pass_motif_25,permutation,28.47,92.33,835261,25,40,q25_p40
172,miseq,pass,fail,R1,60013,62866,95.46,pass_no_motif_25,permutation,4.54,7.53,835261,25,40,q25_p40
173,miseq,fail,pass,R1,1043,1043,100.00,fail_motif_25,permutation,0.00,0.12,835261,25,40,q25_p40
174,miseq,fail,fail,R1,132,132,100.00,fail_no_motif_25,permutation,0.00,0.02,835261,25,40,q25_p40
175,miseq,pass,,R1,608226,830632,73.22,pass_30,permutation,26.78,99.45,835261,30,40,q30_p40
176,miseq,fail,,R1,4629,4629,100.00,fail_30,permutation,0.00,0.55,835261,30,40,q30_p40
177,miseq,pass,pass,R1,548577,768130,71.42,pass_motif_30,permutation,28.58,91.96,835261,30,40,q30_p40
178,miseq,pass,fail,R1,59649,62502,95.44,pass_no_motif_30,permutation,4.56,7.48,835261,30,40,q30_p40
179,miseq,fail,pass,R1,4133,4133,100.00,fail_motif_30,permutation,0.00,0.49,835261,30,40,q30_p40
180,miseq,fail,fail,R1,496,496,100.00,fail_no_motif_30,permutation,0.00,0.06,835261,30,40,q30_p40
181,miseq,pass,,R1,599146,821253,72.96,pass_35,permutation,27.04,98.32,835261,35,40,q35_p40
182,miseq,fail,,R1,13989,14008,99.86,fail_35,permutation,0.14,1.68,835261,35,40,q35_p40
183,miseq,pass,pass,R1,540331,759593,71.13,pass_motif_35,permutation,28.87,90.94,835261,35,40,q35_p40
184,miseq,pass,fail,R1,58815,61660,95.39,pass_no_motif_35,permutation,4.61,7.38,835261,35,40,q35_p40
185,miseq,fail,pass,R1,12651,12670,99.85,fail_motif_35,permutation,0.15,1.52,835261,35,40,q35_p40
186,miseq,fail,fail,R1,1338,1338,100.00,fail_no_motif_35,permutation,0.00,0.16,835261,35,40,q35_p40
187,miseq,pass,,R1,0,0,0.00,pass_40,permutation,0.00,0.00,835261,40,40,q40_p40
188,miseq,fail,,R1,612851,835261,73.37,fail_40,permutation,26.63,100.00,835261,40,40,q40_p40
189,miseq,pass,pass,R1,0,0,0.00,pass_motif_40,permutation,0.00,0.00,835261,40,40,q40_p40
190,miseq,pass,fail,R1,0,0,0.00,pass_no_motif_40,permutation,0.00,0.00,835261,40,40,q40_p40
191,miseq,fail,pass,R1,552706,772263,71.57,fail_motif_40,permutation,28.43,92.46,835261,40,40,q40_p40
192,miseq,fail,fail,R1,60145,62998,95.47,fail_no_motif_40,permutation,4.53,7.54,835261,40,40,q40_p40
193,miseq,pass,,R1,612851,835261,73.37,pass_5,permutation,26.63,100.00,835261,5,50,q5_p50
194,miseq,fail,,R1,0,0,0.00,fail_5,permutation,0.00,0.00,835261,5,50,q5_p50
