"call","position","mismatch","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean","reads","mean_match_and_miss","reads_match_and_miss","empirical_qscore","group","empirical_qscore_mean","instrument_qscore_mean"
"miss",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,123,12,39,28,13,0,0,0,0,0,0,0,0,18,21,47,205,651,763,493,93,5895,0,0,0,35.5834820897299,8403,35.7792235948136,927119,20.42701117879,"MiSeq",20.9560041242352,36.5508006595867
"miss",7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,153,9,44,40,24,6,0,0,0,0,0,0,0,0,14,0,92,103,110,53,134,599,10716,0,0,37.3040747169188,12099,37.5408022055421,927119,18.8438600469494,"MiSeq",20.9560041242352,36.5508006595867
"miss",8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,4,15,7,7,2,0,0,0,0,0,0,0,0,1,0,53,37,38,19,58,274,4040,0,0,37.4191512513602,4595,37.5407611381135,667842,21.6238821225568,"MiSeq",20.9560041242352,36.5508006595867
"miss",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,8,6,0,0,0,0,0,0,0,0,0,2,0,18,18,8,16,25,110,1834,0,0,37.365171249397,2073,37.6276186181296,478974,23.6371263728522,"MiSeq",20.9560041242352,36.5508006595867
"miss",10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,7,3,1,0,0,0,0,0,0,0,0,0,1,0,7,9,4,2,4,28,463,0,0,36.7915129151292,542,37.597167673109,186631,25.3698449655239,"MiSeq",20.9560041242352,36.5508006595867
"miss",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,46,21,20,0,0,0,0,0,0,0,0,64,44,69,390,1310,1744,1043,244,10435,0,0,0,35.660742926798,15587,35.8892155786701,947552,17.8384051721161,"MiSeq",18.5290532533218,36.5382036151207
"miss",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2,57,24,20,0,0,0,0,0,0,0,0,52,37,73,436,1443,1908,1152,226,10285,0,0,0,35.5743166645673,15878,35.819972940799,947552,17.7580725500893,"MiSeq",18.5290532533218,36.5382036151207
"miss",3,3,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1,210,13,59,46,22,0,0,0,13,0,105,124,42,71,282,460,384,2151,2060,1180,232,11324,0,0,0,35.0299179242785,18885,35.8252032606126,947552,17.0048606345375,"MiSeq",18.5290532533218,36.5382036151207
"miss",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,267,12,91,34,26,0,0,0,0,0,0,0,0,42,64,88,393,1258,1520,1023,207,9533,0,0,0,35.3656593406593,14560,35.8358992435244,947552,18.1344167764027,"MiSeq",18.5290532533218,36.5382036151207
"miss",5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,171,6,31,38,14,0,0,0,0,0,0,0,0,66,32,86,416,1253,1636,1091,225,12151,0,0,0,35.7823915442244,17219,35.9792222484887,947552,17.4059512658517,"MiSeq",18.5290532533218,36.5382036151207
