1944,995,1341,1898,130
1914,1028,1393,1846,127
1873,1055,1332,1927,121
1921,983,1383,1884,137
1887,1020,1383,1898,120
1920,1004,1411,1848,125
1895,1069,1447,1791,106
1937,1029,1409,1820,113
1906,1054,1500,1732,116
1880,1011,1362,1926,129
1948,1012,1460,1767,121
1835,968,1461,1928,116
1941,992,1444,1819,112
1798,1025,1516,1844,125
1884,951,1461,1896,116
1965,989,1554,1691,109
1922,1009,1428,1832,117
1935,1039,1397,1826,111
1871,993,1560,1771,113
1923,1013,1515,1752,105
1850,1058,1537,1749,114
1905,1025,1527,1742,109
1864,1077,1539,1722,106
1748,1002,1585,1865,108
1838,1010,1627,1722,111
1952,1001,1611,1636,108
1797,1061,1597,1758,95
1839,1024,1556,1791,98
1788,1111,1580,1730,99
1769,1089,1590,1761,99
1757,1050,1685,1716,100
1831,981,1575,1818,103
1779,987,1677,1771,94
1701,1102,1726,1687,92
1708,1071,1674,1755,100
1729,998,1718,1765,98
1775,1091,1701,1650,91
1433,817,1264,1251,78
910,469,845,862,55
438,263,423,441,18
