312126,165231,204513,300315,16379
304327,161662,209047,307224,16304
301841,163873,217697,298977,16176
302128,165852,215075,299406,16103
306194,162383,217663,296278,16046
304373,167971,218453,291511,16256
306175,168265,211173,296604,16347
310910,166513,212799,292247,16095
304065,165707,218962,293887,15943
297313,168055,221146,295996,16054
312847,161821,221720,286151,16025
298813,164806,222500,296173,16272
298886,164595,219256,300051,15776
304484,163551,224280,290642,15607
303842,160910,228122,290139,15551
303306,163320,230858,285568,15512
306348,161866,233162,281615,15573
297277,160842,232206,292708,15531
302771,162757,232828,284814,15394
300417,158686,236459,287593,15409
292386,159803,232923,298461,14991
307180,161819,232541,282332,14692
296579,159198,237794,290262,14731
298691,161444,236758,286940,14731
301232,160173,236087,286547,14525
302275,163042,241882,277207,14158
305816,155301,242721,280537,14189
303837,161915,245256,273389,14167
292817,162349,246096,283215,14087
284213,159643,254496,286356,13856
284150,169165,260584,271033,13632
293928,159193,259100,272708,13635
291338,156009,255280,282336,13601
295418,160416,257452,271690,13588
287957,163852,257673,275740,13342
284266,159829,255457,285671,13341
284481,169371,260492,270817,13403
283651,165785,267233,268463,13432
282450,163831,263058,275756,13469
282743,164421,264531,273603,13266
286498,164413,263719,270921,13013
279048,159242,273354,273780,13140
282997,165853,268917,267678,13119
279079,167572,273202,265693,13018
283615,159914,269797,272370,12868
278682,164154,276625,266082,13021
285043,156757,275111,267832,13821
