"call","position","mismatch","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean","reads","mean_match_and_miss","reads_match_and_miss","empirical_qscore"
"miss",15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,46,21,20,0,0,0,0,0,0,0,0,64,44,69,390,1310,1744,1043,244,10435,0,0,0,35.660742926798,15587,35.8892155786701,947552,17.8384051721161
"miss",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2,57,24,20,0,0,0,0,0,0,0,0,52,37,73,436,1443,1908,1152,226,10285,0,0,0,35.5743166645673,15878,35.819972940799,947552,17.7580725500893
"miss",3,3,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1,210,13,59,46,22,0,0,0,13,0,105,124,42,71,282,460,384,2151,2060,1180,232,11324,0,0,0,35.0299179242785,18885,35.8252032606126,947552,17.0048606345375
"miss",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,267,12,91,34,26,0,0,0,0,0,0,0,0,42,64,88,393,1258,1520,1023,207,9533,0,0,0,35.3656593406593,14560,35.8358992435244,947552,18.1344167764027
"miss",5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,171,6,31,38,14,0,0,0,0,0,0,0,0,66,32,86,416,1253,1636,1091,225,12151,0,0,0,35.7823915442244,17219,35.9792222484887,947552,17.4059512658517
"miss",6,3,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1,3,181,15,49,40,18,0,0,0,28,0,115,133,55,64,312,487,370,2089,1967,1100,224,9056,0,0,0,34.7642152684768,16426,35.7626578805174,947552,17.61071234126
"miss",7,3,0,0,0,0,0,0,0,0,0,0,0,0,149,0,1,2,243,13,68,46,33,8,0,0,36,0,112,138,46,21,224,252,167,427,219,102,275,2371,19792,0,0,36.8952111537684,24745,37.5259816875485,947552,15.8311559447012
"miss",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,67,4,22,12,8,3,0,0,0,0,0,0,0,0,6,0,89,63,66,38,135,466,7732,0,0,37.4833601101675,8714,37.520324783399,677744,18.908481259041
"miss",9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,7,10,7,0,0,0,0,0,0,0,0,0,2,0,27,22,18,25,39,166,2865,0,0,37.4628304821151,3215,37.6272444507281,480964,21.7493159352844
"miss",10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,7,4,1,0,0,0,0,0,0,0,0,0,2,0,10,13,6,3,6,48,808,0,0,36.9967707212056,929,37.596314076919,187470,23.0491606539343
"miss",11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,46,21,20,0,0,0,0,0,0,0,0,64,44,69,390,1311,1745,1043,244,10446,0,0,0,35.6614102564103,15600,35.8892234305826,947565,17.8348441255276
"miss",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2,57,24,20,0,0,0,0,0,0,0,0,52,37,73,436,1443,1908,1152,226,10291,0,0,0,35.5748552002015,15884,35.8199669679653,947565,17.7564913251537
"miss",3,4,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1,210,13,59,46,22,0,0,0,13,0,105,124,42,71,282,460,384,2151,2060,1180,232,11324,0,0,0,35.0299179242785,18885,35.8251771646272,947565,17.0049202174368
"miss",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,267,12,91,34,26,0,0,0,0,0,0,0,0,42,64,88,393,1258,1520,1023,207,9533,0,0,0,35.3656593406593,14560,35.8358708901236,947565,18.134476359302
"miss",5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,171,6,31,38,14,0,0,0,0,0,0,0,0,66,32,86,417,1254,1644,1093,226,12151,0,0,0,35.7811049210771,17232,35.9791961501322,947565,17.4027332495331
"miss",6,4,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1,3,181,15,49,40,18,0,0,0,28,0,115,133,55,64,312,487,371,2090,1970,1101,225,9056,0,0,0,34.7638897340717,16433,35.7626368639618,947565,17.608921556577
"miss",7,4,0,0,0,0,0,0,0,0,0,0,0,0,149,0,1,2,243,13,68,46,33,8,0,0,36,0,112,138,46,21,224,252,167,427,219,102,275,2371,19798,0,0,36.8954789705466,24751,37.5259839694375,947565,15.8301626074032
"miss",8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,67,4,22,12,8,3,0,0,0,0,0,0,0,0,6,0,89,63,66,38,135,466,7739,0,0,37.4837747964683,8721,37.5203297376175,677751,18.9050388055057
"miss",9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,7,10,7,0,0,0,0,0,0,0,0,0,2,0,27,22,18,25,39,166,2865,0,0,37.4628304821151,3215,37.6272444507281,480964,21.7493159352844
"miss",10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,7,4,1,0,0,0,0,0,0,0,0,0,2,0,10,13,6,3,6,48,808,0,0,36.9967707212056,929,37.596314076919,187470,23.0491606539343
"miss",11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,46,21,20,0,0,0,0,0,0,0,0,64,44,69,390,1311,1745,1043,244,10446,0,0,0,35.6614102564103,15600,35.8892234305826,947565,17.8348441255276
"miss",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2,57,24,20,0,0,0,0,0,0,0,0,52,37,73,436,1443,1908,1152,226,10291,0,0,0,35.5748552002015,15884,35.8199669679653,947565,17.7564913251537
"miss",3,5,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1,210,13,59,46,22,0,0,0,13,0,105,124,42,71,282,460,384,2151,2060,1180,232,11324,0,0,0,35.0299179242785,18885,35.8251771646272,947565,17.0049202174368
"miss",4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,267,12,91,34,26,0,0,0,0,0,0,0,0,42,64,88,393,1258,1520,1023,207,9533,0,0,0,35.3656593406593,14560,35.8358708901236,947565,18.134476359302
"miss",5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,171,6,31,38,14,0,0,0,0,0,0,0,0,66,32,86,417,1254,1644,1093,226,12151,0,0,0,35.7811049210771,17232,35.9791961501322,947565,17.4027332495331
"miss",6,5,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1,3,181,15,49,40,18,0,0,0,28,0,115,133,55,64,312,487,371,2090,1970,1101,225,9056,0,0,0,34.7638897340717,16433,35.7626368639618,947565,17.608921556577
"miss",7,5,0,0,0,0,0,0,0,0,0,0,0,0,149,0,1,2,243,13,68,46,33,8,0,0,36,0,112,138,46,21,224,252,167,427,219,102,275,2371,19798,0,0,36.8954789705466,24751,37.5259839694375,947565,15.8301626074032
"miss",8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,67,4,22,12,8,3,0,0,0,0,0,0,0,0,6,0,89,63,66,38,135,466,7739,0,0,37.4837747964683,8721,37.5203297376175,677751,18.9050388055057
"miss",9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,7,10,7,0,0,0,0,0,0,0,0,0,2,0,27,22,18,25,39,166,2865,0,0,37.4628304821151,3215,37.6272444507281,480964,21.7493159352844
"miss",10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,7,4,1,0,0,0,0,0,0,0,0,0,2,0,10,13,6,3,6,48,808,0,0,36.9967707212056,929,37.596314076919,187470,23.0491606539343
"miss",11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
"miss",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,46,21,20,0,0,0,0,0,0,0,0,64,44,69,390,1311,1745,1043,244,10446,0,0,0,35.6614102564103,15600,35.8892234305826,947565,17.8348441255276
"miss",2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2,57,24,20,0,0,0,0,0,0,0,0,52,37,73,436,1443,1908,1152,226,10291,0,0,0,35.5748552002015,15884,35.8199669679653,947565,17.7564913251537
