id,dataset,tool1,tool2,read,unique,total,percent_unique,old_group,group,subgroup,label,percent_compression,percent_sampled,total_reads,percent_unique_sample1,percent_unique_sample2,percent_unique_sample3,sample_mean,sample_sd,change_percent_compression,rm_motif_unique,rm_motif_percent_compression,
451,hiseq250(rapid_run),pass,,R2,58645729,106894296,54.86,pass,pass q30,q30p60_krill,p60,45.14,87,122317249,65161087,65160610,65160860,65160852.3333333,194.809878827766,6.09492141033731,,,
452,hiseq250(rapid_run),fail,,R2,15396261,15422953,99.83,fail,fail q30,q30p60_krill,p60,0.17,13,122317249,10682235,10682418,10683000,10682551,326.162536168702,-30.5629538000926,,,
453,hiseq250(rapid_run),pass,pass,R2,54964097,102988167,53.37,pass_motif,pass q30 pass motif,q30p60_krill_rotifer,,46.63,84,122317249,62924740,62929705,62926096,62926847,2095.36106673766,7.73171348898753,,,
454,hiseq250(rapid_run),pass,fail,R2,3681632,3906129,94.25,pass_no_motif,pass q30 fail motif,q30p60_krill_rotifer,,5.75,3,122317249,2999004,3000436,2999975,2999805,596.8422460472,-17.4553118957413,,,
455,hiseq250(rapid_run),fail,pass,R2,13458578,13485060,99.80,fail_motif,fail q30 pass motif,q30p60_krill_rotifer,,0.20,11,122317249,9429316,9431931,9429276,9430174.33333333,1242.25824833468,-29.873086709786,,,
456,hiseq250(rapid_run),fail,fail,R2,1937683,1937893,99.99,fail_no_motif,fail q30 fail motif,q30p60_krill_rotifer,,0.01,2,122317249,1572826,1572250,1570809,1571961.66666667,848.301964056563,-18.8721117901418,,,
457,hiseq250(rapid_run),pass,,R2,51856163,99606452,52.06,pass,pass q30,q30p70_krill,p70,47.94,81,122317249,60990570,60988521,60983752,60987614.3333333,2856.31631457178,9.16752996415667,,,
458,hiseq250(rapid_run),fail,,R2,22489983,22710797,99.03,fail,fail q30,q30p70_krill,p70,0.97,19,122317249,15314933,15311265,15314273,15313490.3333333,1596.45050728866,-31.599475204092,,,
459,hiseq250(rapid_run),pass,pass,R2,48614257,96145394,50.56,pass_motif,pass q30 pass motif,q30p70_krill_rotifer,,49.44,79,122317249,59003542,59002395,59001649,59002528.6666667,778.572340177128,10.8047522969916,,,
460,hiseq250(rapid_run),pass,fail,R2,3241906,3461058,93.67,pass_no_motif,pass q30 fail motif,q30p70_krill_rotifer,,6.33,3,122317249,2683767,2683476,2683133,2683458.66666667,259.119449074918,-16.1351625235212,,,
461,hiseq250(rapid_run),fail,pass,R2,20108601,20327833,98.92,fail_motif,fail q30 pass motif,q30p70_krill_rotifer,,1.08,17,122317249,13809057,13810766,13807562,13809128.3333333,1308.99970291143,-30.9893960003836,,,
462,hiseq250(rapid_run),fail,fail,R2,2381382,2382964,99.93,fail_no_motif,fail q30 fail motif,q30p70_krill_rotifer,,0.07,2,122317249,1902139,1902218,1902655,1902337.33333333,226.927790766627,-20.1028914690556,,,
463,hiseq250(rapid_run),pass,,R2,42661376,88688997,48.10,pass,pass q30,q30p80_krill,p80,51.90,73,122317249,54700603,54703522,54700453,54701526,1412.71299279082,13.5756975580635,,,
464,hiseq250(rapid_run),fail,,R2,32359843,33628252,96.23,fail,fail q30,q30p80_krill,p80,3.77,27,122317249,22080969,22079223,22079735,22079975.6666667,732.834375709971,-30.5691397023352,,,
465,hiseq250(rapid_run),pass,pass,R2,39989704,85813319,46.60,pass_motif,pass q30 pass motif,q30p80_krill_rotifer,,53.40,70,122317249,53042850,53040252,53042234,53041778.6666667,1108.4215002526,15.2098471644788,,,
466,hiseq250(rapid_run),pass,fail,R2,2671672,2875678,92.91,pass_no_motif,pass q30 fail motif,q30p80_krill_rotifer,,7.09,2,122317249,2261295,2263378,2261609,2262094,916.930022775275,-14.2428324728986,,,
467,hiseq250(rapid_run),fail,pass,R2,29398901,30659908,95.89,fail_motif,fail q30 pass motif,q30p80_krill_rotifer,,4.11,25,122317249,20255002,20254209,20259384,20256198.3333333,2275.75135333855,-29.8197328793898,,,
468,hiseq250(rapid_run),fail,fail,R2,2960942,2968344,99.75,fail_no_motif,fail q30 fail motif,q30p80_krill_rotifer,,0.25,2,122317249,2328319,2328084,2329240,2328547.66666667,498.865602030135,-21.3046174342776,,,
469,hiseq250(rapid_run),pass,,R2,25129173,64052522,39.23,pass,pass q30,q30p90_krill,p90,60.77,52,122317249,40335869,40338202,40332838,40335636.3333333,2196.01522965777,23.7406160733739,,,
470,hiseq250(rapid_run),fail,,R2,51107959,58264727,87.72,fail,fail q30,q30p90_krill,p90,12.28,48,122317249,36910924,36915810,36912651,36913128.3333333,2023.0561589393,-24.3626485483518,,,
471,hiseq250(rapid_run),pass,pass,R2,23612711,62381546,37.85,pass_motif,pass q30 pass motif,q30p90_krill_rotifer,,62.15,51,122317249,39343602,39349609,39345361,39346190.6666667,2521.54348674687,25.2213686186403,,,
