read_id,observed,expected,read_len,o_minus_e,contaminated,missed_id,false_id
199424,229,228,229,1,1,1,0
199425,229,228,229,1,1,1,0
199426,229,228,229,1,1,1,0
199427,229,228,229,1,1,1,0
199428,229,228,229,1,1,1,0
199385,229,228,229,1,1,1,0
199215,229,228,229,1,1,1,0
199216,229,228,229,1,1,1,0
199217,229,228,229,1,1,1,0
199218,229,228,229,1,1,1,0
199404,229,228,229,1,1,1,0
199403,229,228,229,1,1,1,0
199402,229,228,229,1,1,1,0
199401,229,228,229,1,1,1,0
199370,229,228,229,1,1,1,0
199371,229,228,229,1,1,1,0
199372,229,228,229,1,1,1,0
199373,229,228,229,1,1,1,0
199374,229,228,229,1,1,1,0
199375,229,228,229,1,1,1,0
199376,229,228,229,1,1,1,0
199377,229,228,229,1,1,1,0
199378,229,228,229,1,1,1,0
199379,229,228,229,1,1,1,0
199380,229,228,229,1,1,1,0
199381,229,228,229,1,1,1,0
199382,229,228,229,1,1,1,0
199383,229,228,229,1,1,1,0
199219,229,228,229,1,1,1,0
199384,229,228,229,1,1,1,0
199387,229,228,229,1,1,1,0
199388,229,228,229,1,1,1,0
199389,229,228,229,1,1,1,0
199390,229,228,229,1,1,1,0
199391,229,228,229,1,1,1,0
199392,229,228,229,1,1,1,0
199393,229,228,229,1,1,1,0
199394,229,228,229,1,1,1,0
199395,229,228,229,1,1,1,0
199396,229,228,229,1,1,1,0
199397,229,228,229,1,1,1,0
199398,229,228,229,1,1,1,0
199399,229,228,229,1,1,1,0
199400,229,228,229,1,1,1,0
199386,229,228,229,1,1,1,0
199220,229,228,229,1,1,1,0
199221,229,228,229,1,1,1,0
199222,229,228,229,1,1,1,0
199257,229,228,229,1,1,1,0
199258,229,228,229,1,1,1,0
199259,229,228,229,1,1,1,0
199260,229,228,229,1,1,1,0
199261,229,228,229,1,1,1,0
199262,229,228,229,1,1,1,0
199263,229,228,229,1,1,1,0
199264,229,228,229,1,1,1,0
199265,229,228,229,1,1,1,0
199266,229,228,229,1,1,1,0
199268,229,228,229,1,1,1,0
199269,229,228,229,1,1,1,0
199270,229,228,229,1,1,1,0
199271,229,228,229,1,1,1,0
199256,229,228,229,1,1,1,0
199272,229,228,229,1,1,1,0
199274,229,228,229,1,1,1,0
199275,229,228,229,1,1,1,0
199267,229,228,229,1,1,1,0
197990,226,225,226,1,1,1,0
197989,226,225,226,1,1,1,0
199637,229,228,229,1,1,1,0
199638,229,228,229,1,1,1,0
199639,229,228,229,1,1,1,0
199640,229,228,229,1,1,1,0
199641,229,228,229,1,1,1,0
199642,229,228,229,1,1,1,0
199643,229,228,229,1,1,1,0
199644,229,228,229,1,1,1,0
199645,229,228,229,1,1,1,0
199273,229,228,229,1,1,1,0
199369,229,228,229,1,1,1,0
199255,229,228,229,1,1,1,0
199253,229,228,229,1,1,1,0
199223,229,228,229,1,1,1,0
199224,229,228,229,1,1,1,0
199225,229,228,229,1,1,1,0
199226,229,228,229,1,1,1,0
199227,229,228,229,1,1,1,0
199228,229,228,229,1,1,1,0
199229,229,228,229,1,1,1,0
199230,229,228,229,1,1,1,0
199231,229,228,229,1,1,1,0
199232,229,228,229,1,1,1,0
199233,229,228,229,1,1,1,0
199234,229,228,229,1,1,1,0
199235,229,228,229,1,1,1,0
199236,229,228,229,1,1,1,0
199254,229,228,229,1,1,1,0
199237,229,228,229,1,1,1,0
199239,229,228,229,1,1,1,0
199240,229,228,229,1,1,1,0
199241,229,228,229,1,1,1,0
199242,229,228,229,1,1,1,0
199243,229,228,229,1,1,1,0
199244,229,228,229,1,1,1,0
199245,229,228,229,1,1,1,0
199246,229,228,229,1,1,1,0
199247,229,228,229,1,1,1,0
199248,229,228,229,1,1,1,0
199249,229,228,229,1,1,1,0
199250,229,228,229,1,1,1,0
199251,229,228,229,1,1,1,0
199252,229,228,229,1,1,1,0
199238,229,228,229,1,1,1,0
199646,229,228,229,1,1,1,0
199368,229,228,229,1,1,1,0
199366,229,228,229,1,1,1,0
200267,227,226,227,1,1,1,0
200266,227,226,227,1,1,1,0
200265,227,226,227,1,1,1,0
200263,227,226,227,1,1,1,0
200261,227,226,227,1,1,1,0
200260,227,226,227,1,1,1,0
200259,227,226,227,1,1,1,0
200258,227,226,227,1,1,1,0
200257,227,226,227,1,1,1,0
200256,227,226,227,1,1,1,0
200255,227,226,227,1,1,1,0
200254,227,226,227,1,1,1,0
200253,227,226,227,1,1,1,0
200252,227,226,227,1,1,1,0
200251,227,226,227,1,1,1,0
200250,227,226,227,1,1,1,0
200249,227,226,227,1,1,1,0
200248,227,226,227,1,1,1,0
200247,227,226,227,1,1,1,0
200246,227,226,227,1,1,1,0
200245,227,226,227,1,1,1,0
200244,227,226,227,1,1,1,0
